% pa1
A a
B bi1
P p
Q q
T t
□ biu1,ging1
○ ling2
⺮ zhu2
々 xx
〇 ling2
〡 yi1
〢 er4
〣 san1
〤 si4
〥 wu3
〦 liu4
〧 qi1
〨 ba1
〩 jiu3
〻 xx5
㍻ xx5
㍼ xx5
㍽ xx5
㍾ xx5
㐄 kua4
㐅 wu3
㐆 yin3
㐌 ta1
㐖 xie2
㐜 chou2
㐡 nuo4
㐤 qiu2
㐫 xiong1
㐰 xin4
㐺 zhong4
㑇 zhou4
俊 jun4,zun4
㒳 liang3
㒸 sui4
罔 wang3
寇 kou4
㔾 jie2
却 que4
厨 chu2
㕥 shen1
以 yi3
㕯 ne4
㕻 pou3
㗂 sheng3
㗎 jia4
坳 ao4
㚻 ji1
㛂 nuo3
㝄 chun2
㝇 chun2
宿 su4,xiu3,xiu4
冥 ming2
最 zui4
㝵 de2,ai4
㞎 ba3
㞗 qiu2
㞙 niao4
𪨊 song2
岸 an4
岛 dao3
帆 fan1
帽 mao4
廉 lian2
迥 jiong3
㢲 xun4
㢴 xi1
㤅 ai4
恩 en1
㥁 de2
㥏 tian3
惬 qie4
㥯 yin3
㦂 chang2
㧯 lao3
拿 na2
㨃 dui3
捷 jie2
晃 huang3,huang4
据 ju4,ju1
㩐 den4
携 xie2
㨫 lan3
㪃 he2
㪋 han4
散 san4,san3
敦 dun1
㫺 xi1
暖 nuan3
㬎 xian3
㮎 bei1
㮚 li4
㮸 song4
橹 lu3
㯳 qing2
饮 yin3,yin4
㱾 gai1
㲈 shao2,tao2
㲋 chuo4
㲱 lie4
㲾 yu3
㳂 yan2
涎 xian2
法 fa3
㳮 niao4
深 shen1
涧 jian4
㵪 xian2
㵮 chun2
㶸 xie2
㷖 zhao4
㷭 feng1
㹠 tun2
㹢 jia1
㹴 geng3
㺢 huo4
㺵 jiu3
㻽 xuan2
碗 wan3
留 liu2
㽮 xing1
瘪 bie3
㿝 xiang1
䂖 shi2
䂲 fa3
䂶 jie2
䃉 min2
䅵 zhuo2
䇲 ce4
筲 shao1
糊 hu2,hu4
䍃 yao2
䍹 shan1
䒗 qi4
䔢 hua2
䕭 qian2,xian2
䖟 meng2
䖸 e2
䗈 meng2
䗥 zong1
䗪 zhe4
蜂 feng1
䗶 la4
恤 xu4
脉 mai4,mo4
卒 zu2,cu4
词 ci2
䛟 jia2
䝓 lie4
獾 huan1
䞓 cheng1
䟆 bi4
䟖 zhi3
䠀 chang3
趟 tang4,tang1
䠞 cu4
射 she4
䤈 xi1
鿏 mai4
镰 lian2
䥯 ba4
䦉 si4
䦕 peng1
䩦 tiao2
䫏 qi1
飒 sa4
䬠 fei1
䬪 bo2
驮 tuo2,duo4
䯝 sui3
魂 hun2
鲃 ba1
䲔 jing1
䳗 e2
鹅 e2
鹮 huan2
麸 fu1
䵹 zhi1
衄 nv4
䶑 ti4
一 yi1
丁 ding1
丂 kao3
七 qi1
丄 shang4
丅 xia4
丆 xx5
万 wan4,mo4
丈 zhang4
三 san1
上 shang4,shang3
下 xia4
丌 ji1,qi2
不 bu4
丏 mian3
丐 gai4
丑 chou3
丒 chou3
且 qie3
丕 pi1
世 shi4
丗 shi4
丘 qiu1
丙 bing3
丞 cheng2
丢 diu1
丠 qiu1
両 liang3
丣 you3
并 bing4
丨 gun3,shu4
丩 jiu1
丫 ya1
中 zhong1,zhong4
丮 ji3
丰 feng1
丱 guan4,kuang4
串 chuan4
丳 chan3
丵 zhuo2
丶 zhu3
丷 ba1,xx5
丸 wan2
丹 dan1
主 zhu3
丼 jing3,dong4
丿 pie3
乀 fu2,pie3
乂 yi4
乃 nai3
久 jiu3
乆 jiu3
乇 tuo1,zhe2
幺 yao1
乊 xx5
之 zhi1
乍 zha4
乎 hu1
乏 fa2
乑 zhong4
乒 ping1
乓 pang1
乕 hu3
乖 guai1
乗 cheng2
乘 cheng2,sheng4
乙 yi3,zhe2
乚 ya4
乛 zhe2
乜 mie1
九 jiu3
乞 qi3
也 ye3
乢 gai4
乣 jiu3
乤 xx5
乥 xx5
乧 xx5
乨 shi3
乩 ji1
乪 nang1
乫 xx5
乭 shi2
乳 ru3
乴 xue2
乵 yan3
乶 fu3
乷 xx5
乸 na3
乾 qian2
干 gan4,gan1
乺 xx5
乼 xx5
乿 zhi4,luan4
亀 gui1
乱 luan4
亃 lin2
亄 yi4
亅 jue2
了 le5,liao3,liao4
亇 ge4
予 yu3,yu2
亊 shi4
事 shi4
二 er4
亍 chu4
于 yu2
亐 yu2
云 yun2
互 hu4
亓 qi2
五 wu3
井 jing3
亖 si4
亘 gen4
些 xie1
亜 ya4
亝 qi2
斋 zhai1
亚 ya4
亟 ji2,qi4
亠 tou2
亡 wang2
亢 kang4
交 jiao1
亥 hai4
亦 yi4
亨 heng1
亪 xx5
享 xiang3
京 jing1
亭 ting2
亮 liang4
夜 ye4
亳 bo2
亶 dan3
亹 wei3,men2
人 ren2
亻 ren2
亼 ji2
亽 ji2,xx5
什 shen2,shi2
仁 ren2
仂 le4
仃 ding1
仄 ze4
仆 pu1,pu2
仇 chou2,qiu2
仈 ba1
仉 zhang3
今 jin1
介 jie4
仌 bing1
仍 reng2
仏 fo2
仒 xx5
仔 zai3,zi1,zi3
仕 shi4
他 ta1
仗 zhang4
付 fu4
仙 xian1
仚 xian1
同 tong2,tong4
仞 ren4
仟 qian1
仡 ge1,yi4
代 dai4
令 ling4,ling2,ling3
仨 sa1
仫 mu4
仮 jia3
仰 yang3
仲 zhong4
仳 pi3
仵 wu3
件 jian4
任 ren4,ren2
份 fen4
仿 fang3
伀 zhong1
企 qi3
伄 diao4
伇 yi4
伈 xin3
伉 kang4
伊 yi1
伋 ji2
伍 wu3
伎 ji4
伏 fu2
伐 fa2
休 xiu1
